tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-01-01,38.0,36.0,25.0,46.0,9.0,46.0,O3,1,DKI5
2020-01-02,45.0,36.0,39.0,102.0,8.0,102.0,O3,3,DKI5
2020-01-03,51.0,37.0,27.0,63.0,10.0,63.0,O3,2,DKI5
2020-01-04,51.0,38.0,19.0,85.0,10.0,85.0,O3,2,DKI5
2020-01-05,52.0,39.0,25.0,62.0,9.0,62.0,O3,2,DKI5
2020-01-06,62.0,37.0,39.0,64.0,9.0,64.0,O3,2,DKI5
2020-01-07,50.0,38.0,39.0,66.0,11.0,66.0,O3,2,DKI5
2020-01-08,52.0,40.0,22.0,70.0,11.0,70.0,O3,2,DKI5
2020-01-09,82.0,38.0,58.0,71.0,13.0,82.0,PM10,2,DKI4
2020-01-10,44.0,37.0,27.0,47.0,9.0,47.0,O3,1,DKI5
2020-01-11,44.0,38.0,25.0,80.0,9.0,80.0,O3,2,DKI5
2020-01-12,43.0,38.0,17.0,46.0,5.0,46.0,O3,1,DKI5
2020-01-13,42.0,38.0,15.0,51.0,8.0,51.0,O3,2,DKI4
2020-01-14,40.0,32.0,17.0,48.0,9.0,48.0,O3,1,DKI4
2020-01-15,44.0,29.0,16.0,63.0,9.0,63.0,O3,2,DKI3
2020-01-16,70.0,60.0,41.0,78.0,12.0,78.0,O3,2,DKI3
2020-01-17,86.0,34.0,40.0,125.0,20.0,125.0,O3,3,DKI4
2020-01-18,59.0,30.0,25.0,75.0,7.0,75.0,O3,2,DKI4
2020-01-19,76.0,34.0,71.0,110.0,15.0,110.0,O3,3,DKI3
2020-01-20,56.0,31.0,20.0,65.0,9.0,65.0,O3,2,DKI3
2020-01-21,62.0,36.0,41.0,50.0,15.0,62.0,PM10,2,DKI3
2020-01-22,82.0,36.0,43.0,64.0,15.0,82.0,PM10,2,DKI4
2020-01-23,60.0,32.0,29.0,59.0,18.0,60.0,PM10,2,DKI4
2020-01-24,71.0,30.0,31.0,44.0,13.0,71.0,PM10,2,DKI4
2020-01-25,40.0,29.0,34.0,80.0,12.0,80.0,O3,2,DKI5
2020-01-26,63.0,30.0,51.0,89.0,11.0,89.0,O3,2,DKI5
2020-01-27,48.0,30.0,29.0,83.0,13.0,83.0,O3,2,DKI2
2020-01-28,72.0,31.0,39.0,74.0,17.0,74.0,O3,2,DKI3
2020-01-29,70.0,30.0,42.0,92.0,19.0,92.0,O3,2,DKI4
2020-01-30,38.0,30.0,21.0,80.0,20.0,80.0,O3,2,DKI4
2020-01-31,56.0,30.0,27.0,54.0,16.0,56.0,PM10,2,DKI4
2020-02-01,57.0,30.0,39.0,73.0,14.0,73.0,O3,2,DKI5
2020-02-02,52.0,30.0,35.0,64.0,12.0,64.0,O3,2,DKI5
2020-02-03,59.0,30.0,50.0,46.0,15.0,59.0,PM10,2,DKI4
2020-02-04,43.0,30.0,53.0,51.0,14.0,53.0,CO,2,DKI3
2020-02-05,67.0,30.0,57.0,52.0,12.0,67.0,PM10,2,DKI3
2020-02-06,63.0,30.0,26.0,50.0,18.0,63.0,PM10,2,DKI2
2020-02-07,55.0,28.0,28.0,50.0,16.0,55.0,PM10,2,DKI5
2020-02-08,74.0,30.0,24.0,67.0,12.0,74.0,PM10,2,DKI4
2020-02-09,48.0,30.0,35.0,50.0,12.0,50.0,O3,1,DKI5
