tahun,pm10,so2,co,o3,no2
2010.0,52.75616438356165,13.263013698630138,35.50958904109589,50.37534246575343,18.17808219178082
2011.0,76.7041095890411,17.46849315068493,29.813698630136987,89.16164383561645,17.663013698630138
2012.0,78.2431693989071,25.352459016393443,37.07103825136612,152.21857923497268,18.65846994535519
2013.0,66.2027397260274,20.84931506849315,36.00821917808219,116.12054794520547,18.17808219178082
2014.0,67.34794520547945,14.164383561643836,33.84931506849315,90.24657534246575,18.44931506849315
2015.0,71.15068493150685,23.715068493150685,33.49315068493151,73.33698630136986,18.720547945205478
2016.0,63.07103825136612,30.80327868852459,43.55191256830601,82.75136612021858,15.21584699453552
2017.0,59.12876712328767,43.93150684931507,36.04657534246575,83.92328767123287,15.134246575342466
2018.0,62.66575342465753,30.86027397260274,24.15890410958904,118.94246575342466,15.863013698630137
2019.0,65.56712328767124,28.27123287671233,25.016438356164382,112.83013698630137,15.2
2020.0,60.676712328767124,25.276712328767122,23.649315068493152,86.55616438356165,11.457534246575342
2021.0,60.497252747252745,52.755494505494504,15.313186813186814,49.84065934065934,33.76648351648352
