tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-01-01,72.0,32.0,53.0,51.0,11.0,72.0,PM10,2,DKI4
2016-01-02,52.0,32.0,29.0,50.0,12.0,52.0,PM10,2,DKI1
2016-01-03,44.0,33.0,33.0,50.0,18.0,50.0,O3,1,DKI3
2016-01-04,61.0,33.0,36.0,103.0,24.0,103.0,O3,3,DKI2
2016-01-05,99.0,33.0,54.0,67.0,22.0,99.0,PM10,2,DKI4
2016-01-06,75.0,33.0,43.0,55.0,17.0,75.0,PM10,2,DKI4
2016-01-07,75.0,33.0,31.0,70.0,13.0,75.0,PM10,2,DKI4
2016-01-08,60.0,33.0,30.0,62.0,9.0,62.0,O3,2,DKI2
2016-01-09,77.0,33.0,34.0,68.0,9.0,77.0,PM10,2,DKI4
2016-01-10,83.0,39.0,38.0,86.0,15.0,86.0,O3,2,DKI2
2016-01-11,82.0,38.0,36.0,93.0,14.0,93.0,O3,2,DKI2
2016-01-12,72.0,37.0,38.0,60.0,20.0,72.0,PM10,2,DKI4
2016-01-13,65.0,37.0,43.0,57.0,16.0,65.0,PM10,2,DKI5
2016-01-14,59.0,38.0,33.0,53.0,18.0,59.0,PM10,2,DKI2
2016-01-15,68.0,42.0,39.0,60.0,11.0,68.0,PM10,2,DKI4
2016-01-16,68.0,42.0,34.0,95.0,15.0,95.0,O3,2,DKI1
2016-01-17,94.0,42.0,39.0,149.0,17.0,149.0,O3,3,DKI1
2016-01-18,96.0,44.0,43.0,107.0,21.0,107.0,O3,3,DKI2
2016-01-19,77.0,45.0,31.0,83.0,18.0,83.0,O3,2,DKI3
2016-01-20,61.0,44.0,39.0,69.0,18.0,69.0,O3,2,DKI1
2016-01-21,66.0,48.0,35.0,73.0,14.0,73.0,O3,2,DKI3
2016-01-22,79.0,41.0,59.0,52.0,15.0,79.0,PM10,2,DKI4
2016-01-23,55.0,40.0,37.0,51.0,14.0,55.0,PM10,2,DKI4
2016-01-24,55.0,41.0,42.0,48.0,14.0,55.0,PM10,2,DKI1
2016-01-25,37.0,40.0,32.0,49.0,13.0,49.0,O3,1,DKI1
2016-01-26,61.0,42.0,47.0,54.0,16.0,61.0,PM10,2,DKI1
2016-01-27,80.0,43.0,58.0,81.0,21.0,81.0,O3,2,DKI3
2016-01-28,64.0,42.0,30.0,77.0,15.0,77.0,O3,2,DKI1
2016-01-29,69.0,44.0,29.0,83.0,16.0,83.0,O3,2,DKI2
2016-01-30,80.0,42.0,24.0,62.0,14.0,80.0,PM10,2,DKI4
2016-01-31,80.0,42.0,25.0,51.0,12.0,80.0,PM10,2,DKI4
2016-02-01,71.0,42.0,22.0,49.0,11.0,71.0,PM10,2,DKI4
2016-02-02,52.0,40.0,29.0,51.0,17.0,52.0,PM10,2,DKI4
2016-02-03,41.0,43.0,27.0,57.0,15.0,57.0,O3,2,DKI2
2016-02-04,68.0,45.0,25.0,60.0,18.0,68.0,PM10,2,DKI4
2016-02-05,61.0,45.0,27.0,60.0,17.0,61.0,PM10,2,DKI4
2016-02-06,65.0,45.0,35.0,87.0,17.0,87.0,O3,2,DKI2
2016-02-07,64.0,39.0,38.0,59.0,11.0,64.0,PM10,2,DKI4
2016-02-08,49.0,40.0,27.0,48.0,10.0,49.0,PM10,1,DKI3
2016-02-09,22.0,41.0,19.0,53.0,7.0,53.0,O3,2,DKI1
2016-02-10,39.0,43.0,30.0,44.0,10.0,44.0,O3,1,DKI5
2016-02-11,53.0,43.0,51.0,65.0,11.0,65.0,O3,2,DKI5
2016-02-12,46.0,43.0,40.0,52.0,15.0,52.0,O3,2,DKI5
2016-02-13,73.0,31.0,99.0,114.0,23.0,114.0,O3,3,DKI5
2016-02-14,68.0,28.0,54.0,96.0,15.0,96.0,O3,2,DKI5
2016-02-15,55.0,28.0,44.0,63.0,12.0,63.0,O3,2,DKI2
2016-02-16,84.0,28.0,33.0,52.0,15.0,84.0,PM10,2,DKI4
2016-02-17,71.0,27.0,33.0,58.0,11.0,71.0,PM10,2,DKI4
2016-02-18,64.0,28.0,72.0,65.0,16.0,72.0,CO,2,DKI5
2016-02-19,78.0,27.0,56.0,85.0,16.0,85.0,O3,2,DKI5
2016-02-20,78.0,27.0,47.0,68.0,15.0,78.0,PM10,2,DKI3
2016-02-21,83.0,27.0,42.0,65.0,14.0,83.0,PM10,2,DKI4
2016-02-22,65.0,26.0,42.0,64.0,13.0,65.0,PM10,2,DKI4
2016-02-23,63.0,27.0,39.0,79.0,21.0,79.0,O3,2,DKI5
2016-02-24,66.0,27.0,33.0,60.0,14.0,66.0,PM10,2,DKI4
2016-02-25,46.0,26.0,33.0,62.0,15.0,62.0,O3,2,DKI5
2016-02-26,49.0,27.0,32.0,57.0,18.0,57.0,O3,2,DKI5
2016-02-27,55.0,27.0,37.0,57.0,12.0,57.0,O3,2,DKI5
2016-02-28,46.0,26.0,26.0,70.0,12.0,70.0,O3,2,DKI5
2016-02-29,53.0,26.0,30.0,60.0,15.0,60.0,O3,2,DKI5
2016-03-01,27.0,26.0,27.0,59.0,11.0,59.0,O3,2,DKI5
2016-03-02,52.0,26.0,32.0,51.0,14.0,52.0,PM10,2,DKI3
2016-03-03,52.0,26.0,54.0,52.0,16.0,54.0,CO,2,DKI5
2016-03-04,68.0,26.0,40.0,54.0,12.0,68.0,PM10,2,DKI3
2016-03-05,53.0,26.0,30.0,58.0,12.0,58.0,O3,2,DKI5
2016-03-06,80.0,26.0,43.0,72.0,16.0,80.0,PM10,2,DKI4
2016-03-07,54.0,26.0,31.0,102.0,18.0,102.0,O3,3,DKI3
2016-03-08,74.0,26.0,28.0,81.0,17.0,81.0,O3,2,DKI3
2016-03-09,80.0,26.0,39.0,99.0,18.0,99.0,O3,2,DKI3
2016-03-10,71.0,26.0,39.0,133.0,25.0,133.0,O3,3,DKI3
2016-03-11,65.0,26.0,33.0,98.0,20.0,98.0,O3,2,DKI5
2016-03-12,61.0,26.0,36.0,109.0,24.0,109.0,O3,3,DKI2
2016-03-13,65.0,26.0,35.0,78.0,15.0,78.0,O3,2,DKI3
2016-03-14,74.0,26.0,43.0,71.0,21.0,74.0,PM10,2,DKI4
2016-03-15,71.0,26.0,37.0,173.0,20.0,173.0,O3,3,DKI2
2016-03-16,60.0,26.0,40.0,119.0,19.0,119.0,O3,3,DKI2
2016-03-17,64.0,26.0,30.0,120.0,16.0,120.0,O3,3,DKI2
2016-03-18,55.0,26.0,44.0,61.0,15.0,61.0,O3,2,DKI5
2016-03-19,65.0,26.0,26.0,91.0,14.0,91.0,O3,2,DKI2
2016-03-20,62.0,26.0,30.0,91.0,11.0,91.0,O3,2,DKI2
2016-03-21,66.0,26.0,35.0,63.0,14.0,66.0,PM10,2,DKI4
2016-03-22,76.0,26.0,45.0,74.0,21.0,76.0,PM10,2,DKI5
2016-03-23,39.0,26.0,25.0,74.0,10.0,74.0,O3,2,DKI2
2016-03-24,52.0,26.0,27.0,122.0,14.0,122.0,O3,3,DKI2
2016-03-25,72.0,26.0,50.0,136.0,15.0,136.0,O3,3,DKI2
2016-03-26,72.0,26.0,55.0,128.0,16.0,128.0,O3,3,DKI3
2016-03-27,63.0,26.0,53.0,88.0,20.0,88.0,O3,2,DKI3
2016-03-28,63.0,21.0,38.0,63.0,11.0,63.0,PM10,2,DKI3
2016-03-29,58.0,26.0,30.0,93.0,12.0,93.0,O3,2,DKI3
2016-03-30,74.0,27.0,50.0,64.0,20.0,74.0,PM10,2,DKI5
2016-03-31,81.0,26.0,52.0,64.0,13.0,81.0,PM10,2,DKI4
2016-04-01,81.0,27.0,66.0,84.0,17.0,84.0,O3,2,DKI3
2016-04-02,57.0,26.0,37.0,102.0,13.0,102.0,O3,3,DKI3
2016-04-03,58.0,27.0,48.0,80.0,15.0,80.0,O3,2,DKI5
2016-04-04,50.0,27.0,39.0,66.0,11.0,66.0,O3,2,DKI3
2016-04-05,54.0,27.0,40.0,66.0,11.0,66.0,O3,2,DKI3
2016-04-06,67.0,27.0,42.0,98.0,12.0,98.0,O3,2,DKI3
2016-04-07,64.0,27.0,44.0,77.0,16.0,77.0,O3,2,DKI3
2016-04-08,65.0,27.0,38.0,49.0,19.0,65.0,PM10,2,DKI4
2016-04-09,70.0,26.0,39.0,94.0,22.0,94.0,O3,2,DKI2
2016-04-10,61.0,26.0,45.0,76.0,16.0,76.0,O3,2,DKI3
2016-04-11,80.0,27.0,44.0,139.0,13.0,139.0,O3,3,DKI3
2016-04-12,99.0,27.0,59.0,85.0,16.0,99.0,PM10,2,DKI4
2016-04-13,71.0,26.0,34.0,70.0,20.0,71.0,PM10,2,DKI4
2016-04-14,73.0,27.0,41.0,123.0,18.0,123.0,O3,3,DKI2
2016-04-15,65.0,27.0,62.0,117.0,22.0,117.0,O3,3,DKI2
2016-04-16,69.0,27.0,58.0,78.0,16.0,78.0,O3,2,DKI5
2016-04-17,65.0,27.0,38.0,78.0,11.0,78.0,O3,2,DKI3
