tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-01-01,75.0,4.0,27.0,135.0,10.0,135.0,O3,3,DKI2
2013-01-02,35.0,4.0,26.0,192.0,8.0,192.0,O3,3,DKI2
2013-01-03,61.0,5.0,36.0,195.0,9.0,195.0,O3,3,DKI2
2013-01-04,39.0,4.0,13.0,210.0,10.0,210.0,O3,4,DKI2
2013-01-05,53.0,5.0,14.0,111.0,8.0,111.0,O3,3,DKI2
2013-01-06,32.0,3.0,20.0,150.0,9.0,150.0,O3,3,DKI2
2013-01-07,28.0,4.0,14.0,170.0,11.0,170.0,O3,3,DKI2
2013-01-08,33.0,2.0,25.0,31.0,6.0,33.0,PM10,1,DKI4
2013-01-09,21.0,2.0,18.0,92.0,7.0,92.0,O3,2,DKI2
2013-01-10,24.0,4.0,16.0,76.0,6.0,76.0,O3,2,DKI2
2013-01-11,39.0,5.0,15.0,53.0,5.0,53.0,O3,2,DKI2
2013-01-12,38.0,7.0,16.0,140.0,6.0,140.0,O3,3,DKI2
2013-01-13,37.0,3.0,37.0,154.0,11.0,154.0,O3,3,DKI2
2013-01-14,49.0,4.0,26.0,171.0,13.0,171.0,O3,3,DKI2
2013-01-15,53.0,3.0,40.0,154.0,22.0,154.0,O3,3,DKI2
2013-01-16,54.0,6.0,37.0,159.0,20.0,159.0,O3,3,DKI2
2013-01-17,59.0,8.0,42.0,186.0,18.0,186.0,O3,3,DKI2
2013-01-18,49.0,3.0,37.0,202.0,27.0,202.0,O3,4,DKI2
2013-01-19,84.0,7.0,78.0,110.0,33.0,110.0,O3,3,DKI2
2013-01-20,39.0,3.0,17.0,152.0,11.0,152.0,O3,3,DKI2
2013-01-21,55.0,6.0,23.0,170.0,12.0,170.0,O3,3,DKI2
2013-01-22,61.0,6.0,29.0,195.0,14.0,195.0,O3,3,DKI2
2013-01-23,57.0,9.0,50.0,139.0,15.0,139.0,O3,3,DKI2
2013-01-24,40.0,5.0,28.0,135.0,10.0,135.0,O3,3,DKI2
2013-01-25,51.0,8.0,34.0,155.0,15.0,155.0,O3,3,DKI2
2013-01-26,62.0,9.0,50.0,144.0,15.0,144.0,O3,3,DKI2
2013-01-27,52.0,5.0,25.0,122.0,11.0,122.0,O3,3,DKI2
2013-01-28,41.0,5.0,29.0,195.0,14.0,195.0,O3,3,DKI2
2013-01-29,69.0,7.0,44.0,184.0,15.0,184.0,O3,3,DKI2
2013-01-30,55.0,5.0,29.0,151.0,14.0,151.0,O3,3,DKI2
2013-01-31,74.0,9.0,36.0,195.0,20.0,195.0,O3,3,DKI2
2013-02-01,69.0,19.0,35.0,158.0,16.0,158.0,O3,3,DKI2
2013-02-02,82.0,6.0,28.0,209.0,16.0,209.0,O3,4,DKI2
2013-02-03,69.0,21.0,63.0,135.0,22.0,135.0,O3,3,DKI2
2013-02-04,87.0,14.0,55.0,128.0,25.0,128.0,O3,3,DKI3
2013-02-05,59.0,9.0,37.0,158.0,21.0,158.0,O3,3,DKI3
2013-02-06,52.0,7.0,28.0,151.0,14.0,151.0,O3,3,DKI2
2013-02-07,59.0,9.0,57.0,213.0,21.0,213.0,O3,4,DKI2
2013-02-08,65.0,12.0,33.0,205.0,22.0,205.0,O3,4,DKI2
2013-02-09,70.0,7.0,34.0,180.0,30.0,180.0,O3,3,DKI2
2013-02-10,65.0,20.0,38.0,185.0,19.0,185.0,O3,3,DKI2
2013-02-11,72.0,21.0,50.0,164.0,23.0,164.0,O3,3,DKI2
2013-02-12,70.0,17.0,35.0,158.0,20.0,158.0,O3,3,DKI2
2013-02-13,51.0,10.0,31.0,213.0,19.0,213.0,O3,4,DKI2
2013-02-14,69.0,16.0,38.0,224.0,21.0,224.0,O3,4,DKI2
2013-02-15,59.0,11.0,34.0,196.0,17.0,196.0,O3,3,DKI2
2013-02-16,49.0,7.0,21.0,174.0,11.0,174.0,O3,3,DKI2
2013-02-17,33.0,5.0,20.0,134.0,10.0,134.0,O3,3,DKI2
2013-02-18,45.0,8.0,33.0,153.0,15.0,153.0,O3,3,DKI2
2013-02-19,44.0,7.0,32.0,104.0,14.0,104.0,O3,3,DKI2
2013-02-20,58.0,8.0,42.0,145.0,13.0,145.0,O3,3,DKI2
2013-02-21,54.0,7.0,44.0,152.0,19.0,152.0,O3,3,DKI2
2013-02-22,50.0,6.0,25.0,64.0,11.0,64.0,O3,2,DKI2
2013-02-23,49.0,5.0,25.0,168.0,12.0,168.0,O3,3,DKI2
2013-02-24,59.0,5.0,50.0,217.0,13.0,217.0,O3,4,DKI2
2013-02-25,52.0,6.0,24.0,134.0,15.0,134.0,O3,3,DKI2
2013-02-26,57.0,5.0,31.0,213.0,14.0,213.0,O3,4,DKI2
2013-02-27,53.0,5.0,33.0,230.0,17.0,230.0,O3,4,DKI2
2013-02-28,47.0,6.0,21.0,185.0,7.0,185.0,O3,3,DKI2
