tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2021-01-01,,,,,,,,,
2021-01-02,43.0,58.0,29.0,35.0,65.0,65.0,O3,2,DKI2
2021-01-03,58.0,86.0,38.0,64.0,80.0,86.0,PM25,2,DKI3
2021-01-04,64.0,93.0,25.0,62.0,86.0,93.0,PM25,2,DKI3
2021-01-05,50.0,67.0,24.0,31.0,77.0,77.0,O3,2,DKI2
2021-01-06,59.0,89.0,24.0,35.0,77.0,89.0,PM25,2,DKI3
2021-01-07,73.0,81.0,29.0,66.0,85.0,85.0,O3,2,DKI2
2021-01-08,36.0,52.0,22.0,55.0,72.0,72.0,O3,2,DKI2
2021-01-09,38.0,68.0,26.0,51.0,71.0,71.0,O3,2,DKI2
2021-01-10,60.0,77.0,34.0,42.0,80.0,80.0,O3,2,DKI2
2021-01-11,24.0,39.0,16.0,38.0,59.0,59.0,O3,2,DKI2
2021-01-12,51.0,72.0,17.0,57.0,68.0,72.0,PM25,2,DKI3
2021-01-13,29.0,58.0,20.0,44.0,77.0,77.0,O3,2,DKI2
2021-01-14,36.0,47.0,17.0,32.0,68.0,68.0,O3,2,DKI2
2021-01-15,36.0,78.0,20.0,38.0,65.0,78.0,PM25,2,DKI3
2021-01-16,52.0,82.0,20.0,56.0,65.0,82.0,PM25,2,DKI3
2021-01-17,70.0,92.0,19.0,38.0,67.0,92.0,PM25,2,DKI3
2021-01-18,58.0,86.0,22.0,41.0,93.0,93.0,O3,2,DKI2
2021-01-19,51.0,64.0,21.0,37.0,78.0,78.0,O3,2,DKI2
2021-01-20,42.0,56.0,19.0,35.0,58.0,58.0,O3,2,DKI2
2021-01-21,54.0,45.0,17.0,33.0,72.0,72.0,O3,2,DKI2
2021-01-22,63.0,51.0,21.0,38.0,67.0,67.0,O3,2,DKI2
2021-01-23,84.0,112.0,32.0,54.0,67.0,112.0,PM25,3,DKI3
2021-01-24,89.0,126.0,47.0,61.0,104.0,126.0,PM25,3,DKI3
2021-01-25,64.0,90.0,19.0,31.0,75.0,90.0,PM25,2,DKI3
2021-01-26,62.0,95.0,29.0,67.0,134.0,134.0,O3,3,DKI2
2021-01-27,57.0,79.0,34.0,39.0,71.0,79.0,PM25,2,DKI3
2021-01-28,33.0,37.0,25.0,20.0,63.0,63.0,O3,2,DKI2
2021-01-29,28.0,49.0,25.0,28.0,53.0,53.0,O3,2,DKI2
2021-01-30,30.0,53.0,26.0,36.0,65.0,65.0,O3,2,DKI2
2021-01-31,46.0,39.0,25.0,32.0,64.0,64.0,O3,2,DKI2
2021-02-01,41.0,55.0,24.0,29.0,68.0,68.0,O3,2,DKI2
2021-02-02,73.0,38.0,26.0,46.0,34.0,126.0,PM25,3,DKI5
2021-02-03,53.0,40.0,14.0,55.0,25.0,70.0,PM25,2,DKI3
2021-02-04,32.0,40.0,11.0,42.0,19.0,53.0,PM25,2,DKI3
2021-02-05,36.0,40.0,14.0,47.0,24.0,59.0,PM25,2,DKI5
2021-02-06,29.0,40.0,14.0,45.0,35.0,51.0,PM25,2,DKI3
2021-02-07,34.0,40.0,8.0,57.0,15.0,57.0,O3,2,DKI2
2021-02-08,33.0,40.0,10.0,57.0,13.0,57.0,O3,2,DKI2
2021-02-09,26.0,39.0,10.0,54.0,17.0,54.0,O3,2,DKI2
2021-02-10,33.0,40.0,13.0,47.0,22.0,57.0,PM25,2,DKI4
2021-02-11,50.0,40.0,13.0,49.0,16.0,64.0,PM25,2,DKI3
2021-02-12,38.0,43.0,13.0,35.0,17.0,57.0,PM25,2,DKI3
2021-02-13,63.0,43.0,16.0,33.0,42.0,98.0,PM25,2,DKI3
2021-02-14,59.0,40.0,12.0,40.0,16.0,89.0,PM25,2,DKI3
2021-02-15,55.0,40.0,11.0,42.0,19.0,73.0,PM25,2,DKI3
2021-02-16,42.0,40.0,13.0,37.0,25.0,66.0,PM25,2,DKI4
2021-02-17,43.0,40.0,11.0,42.0,26.0,63.0,PM25,2,DKI4
2021-02-18,46.0,40.0,25.0,41.0,37.0,71.0,PM25,2,DKI5
2021-02-19,53.0,44.0,13.0,41.0,29.0,70.0,PM25,2,DKI3
2021-02-20,32.0,42.0,20.0,41.0,33.0,52.0,PM25,2,DKI5
2021-02-21,45.0,39.0,13.0,53.0,20.0,63.0,PM25,2,DKI4
2021-02-22,36.0,39.0,10.0,48.0,17.0,52.0,PM25,2,DKI5
2021-02-23,68.0,42.0,22.0,41.0,40.0,103.0,PM25,3,DKI3
2021-02-24,66.0,40.0,16.0,54.0,23.0,90.0,PM25,2,DKI3
2021-02-25,42.0,40.0,10.0,33.0,16.0,61.0,PM25,2,DKI4
2021-02-26,31.0,43.0,12.0,45.0,23.0,54.0,PM25,2,DKI3
2021-02-27,48.0,43.0,13.0,40.0,20.0,75.0,PM25,2,DKI4
2021-02-28,59.0,44.0,15.0,50.0,31.0,94.0,PM25,2,DKI4
2021-03-01,68.0,40.0,18.0,60.0,18.0,113.0,PM25,3,DKI4
