tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-01-01,29.0,15.0,7.0,71.0,13.0,71.0,O3,2,DKI2
2019-01-02,24.0,17.0,6.0,79.0,6.0,79.0,O3,2,DKI2
2019-01-03,23.0,16.0,6.0,65.0,4.0,65.0,O3,2,DKI2
2019-01-04,42.0,18.0,10.0,64.0,11.0,64.0,O3,2,DKI2
2019-01-05,54.0,29.0,16.0,51.0,20.0,54.0,PM10,2,DKI3
2019-01-06,69.0,34.0,30.0,105.0,27.0,105.0,O3,3,DKI2
2019-01-07,71.0,47.0,16.0,132.0,25.0,132.0,O3,3,DKI3
2019-01-08,51.0,22.0,25.0,143.0,26.0,143.0,O3,3,DKI3
2019-01-09,61.0,22.0,28.0,198.0,21.0,198.0,O3,3,DKI1
2019-01-10,59.0,22.0,27.0,128.0,18.0,128.0,O3,3,DKI1
2019-01-11,63.0,23.0,28.0,91.0,13.0,91.0,O3,2,DKI3
2019-01-12,57.0,26.0,24.0,90.0,16.0,90.0,O3,2,DKI3
2019-01-13,65.0,24.0,28.0,119.0,15.0,119.0,O3,3,DKI3
2019-01-14,65.0,25.0,32.0,99.0,18.0,99.0,O3,2,DKI1
2019-01-15,72.0,27.0,26.0,59.0,13.0,72.0,PM10,2,DKI3
2019-01-16,37.0,23.0,19.0,64.0,7.0,64.0,O3,2,DKI3
2019-01-17,56.0,23.0,23.0,101.0,14.0,101.0,O3,3,DKI1
2019-01-18,27.0,23.0,16.0,103.0,13.0,103.0,O3,3,DKI1
2019-01-19,44.0,24.0,27.0,127.0,13.0,127.0,O3,3,DKI1
2019-01-20,74.0,30.0,39.0,82.0,17.0,82.0,O3,2,DKI3
2019-01-21,62.0,24.0,22.0,94.0,12.0,94.0,O3,2,DKI3
2019-01-22,39.0,24.0,23.0,92.0,9.0,92.0,O3,2,DKI3
2019-01-23,59.0,23.0,37.0,70.0,14.0,70.0,O3,2,DKI3
2019-01-24,51.0,19.0,20.0,81.0,12.0,81.0,O3,2,DKI3
2019-01-25,32.0,19.0,25.0,74.0,12.0,74.0,O3,2,DKI3
2019-01-26,63.0,22.0,37.0,118.0,17.0,118.0,O3,3,DKI1
2019-01-27,56.0,18.0,49.0,74.0,10.0,74.0,O3,2,DKI3
2019-01-28,53.0,20.0,34.0,77.0,15.0,77.0,O3,2,DKI3
2019-01-29,48.0,19.0,33.0,88.0,11.0,88.0,O3,2,DKI3
2019-01-30,47.0,21.0,32.0,73.0,16.0,73.0,O3,2,DKI1
2019-01-31,56.0,23.0,22.0,54.0,17.0,56.0,PM10,2,DKI3
2019-02-01,61.0,20.0,47.0,93.0,12.0,93.0,O3,2,DKI1
2019-02-02,61.0,37.0,47.0,79.0,14.0,79.0,O3,2,DKI3
2019-02-03,64.0,26.0,34.0,95.0,13.0,95.0,O3,2,DKI3
2019-02-04,56.0,27.0,27.0,86.0,10.0,86.0,O3,2,DKI3
2019-02-05,57.0,20.0,36.0,80.0,10.0,80.0,O3,2,DKI3
2019-02-06,52.0,26.0,20.0,75.0,13.0,75.0,O3,2,DKI3
2019-02-07,70.0,39.0,34.0,65.0,19.0,70.0,PM10,2,DKI2
2019-02-08,63.0,44.0,23.0,132.0,18.0,132.0,O3,3,DKI1
2019-02-09,59.0,24.0,25.0,144.0,22.0,144.0,O3,3,DKI1
2019-02-10,59.0,23.0,28.0,81.0,17.0,81.0,O3,2,DKI3
2019-02-11,37.0,19.0,19.0,71.0,16.0,71.0,O3,2,DKI3
2019-02-12,56.0,34.0,36.0,94.0,17.0,94.0,O3,2,DKI3
2019-02-13,67.0,26.0,43.0,71.0,18.0,71.0,O3,2,DKI3
2019-02-14,73.0,35.0,39.0,91.0,17.0,91.0,O3,2,DKI3
2019-02-15,54.0,23.0,19.0,89.0,14.0,89.0,O3,2,DKI3
2019-02-16,42.0,21.0,15.0,111.0,12.0,111.0,O3,3,DKI3
2019-02-17,55.0,20.0,20.0,79.0,12.0,79.0,O3,2,DKI3
2019-02-18,51.0,23.0,31.0,88.0,22.0,88.0,O3,2,DKI3
2019-02-19,72.0,26.0,31.0,123.0,21.0,123.0,O3,3,DKI5
2019-02-20,69.0,24.0,41.0,70.0,23.0,70.0,O3,2,DKI4
2019-02-21,69.0,26.0,29.0,86.0,18.0,86.0,O3,2,DKI3
2019-02-22,60.0,34.0,34.0,77.0,19.0,77.0,O3,2,DKI3
2019-02-23,42.0,22.0,24.0,102.0,15.0,102.0,O3,3,DKI5
2019-02-24,57.0,26.0,29.0,88.0,14.0,88.0,O3,2,DKI3
2019-02-25,59.0,28.0,32.0,115.0,12.0,115.0,O3,3,DKI3
2019-02-26,61.0,29.0,25.0,88.0,14.0,88.0,O3,2,DKI3
2019-02-27,64.0,22.0,24.0,67.0,17.0,67.0,O3,2,DKI3
2019-02-28,56.0,21.0,22.0,98.0,13.0,98.0,O3,2,DKI5
2019-03-01,58.0,19.0,29.0,70.0,15.0,70.0,O3,2,DKI3
2019-03-02,50.0,51.0,25.0,62.0,12.0,62.0,O3,2,DKI3
2019-03-03,53.0,23.0,22.0,82.0,15.0,82.0,O3,2,DKI5
2019-03-04,55.0,22.0,32.0,104.0,22.0,104.0,O3,3,DKI3
2019-03-05,47.0,21.0,28.0,83.0,22.0,83.0,O3,2,DKI5
2019-03-06,54.0,21.0,25.0,60.0,19.0,60.0,O3,2,DKI3
2019-03-07,55.0,24.0,39.0,112.0,17.0,112.0,O3,3,DKI5
