tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-01-01,73.0,34.0,38.0,61.0,11.0,73.0,PM10,2,DKI3
2017-01-02,39.0,32.0,33.0,44.0,15.0,44.0,O3,1,DKI5
2017-01-03,55.0,32.0,31.0,55.0,10.0,55.0,PM10,2,DKI2
2017-01-04,51.0,33.0,35.0,87.0,15.0,87.0,O3,2,DKI4
2017-01-05,54.0,32.0,35.0,68.0,12.0,68.0,O3,2,DKI3
2017-01-06,38.0,31.0,34.0,65.0,13.0,65.0,O3,2,DKI3
2017-01-07,48.0,32.0,34.0,67.0,20.0,67.0,O3,2,DKI4
2017-01-08,43.0,33.0,36.0,54.0,14.0,54.0,O3,2,DKI4
2017-01-09,38.0,32.0,34.0,68.0,11.0,68.0,O3,2,DKI3
2017-01-10,59.0,32.0,51.0,83.0,17.0,83.0,O3,2,DKI2
2017-01-11,49.0,32.0,43.0,65.0,20.0,65.0,O3,2,DKI2
2017-01-12,29.0,32.0,43.0,65.0,19.0,65.0,O3,2,DKI2
2017-01-13,29.0,32.0,27.0,29.0,5.0,32.0,SO2,1,DKI1
2017-01-14,23.0,31.0,23.0,29.0,6.0,31.0,SO2,1,DKI1
2017-01-15,29.0,32.0,25.0,42.0,7.0,42.0,O3,1,DKI2
2017-01-16,27.0,17.0,27.0,34.0,6.0,34.0,O3,1,DKI2
2017-01-17,20.0,29.0,30.0,48.0,14.0,48.0,O3,1,DKI2
2017-01-18,28.0,29.0,25.0,30.0,6.0,30.0,O3,1,DKI3
2017-01-19,24.0,29.0,24.0,29.0,3.0,29.0,SO2,1,DKI3
2017-01-20,27.0,30.0,24.0,30.0,6.0,30.0,SO2,1,DKI2
2017-01-21,53.0,32.0,25.0,55.0,10.0,55.0,O3,2,DKI3
2017-01-22,63.0,32.0,35.0,50.0,11.0,63.0,PM10,2,DKI4
2017-01-23,45.0,33.0,36.0,51.0,12.0,51.0,O3,2,DKI2
2017-01-24,33.0,28.0,30.0,34.0,15.0,34.0,O3,1,DKI2
2017-01-25,30.0,30.0,28.0,34.0,15.0,34.0,O3,1,DKI2
2017-01-26,39.0,32.0,28.0,53.0,13.0,53.0,O3,2,DKI3
2017-01-27,57.0,33.0,29.0,60.0,14.0,60.0,O3,2,DKI3
2017-01-28,41.0,31.0,28.0,49.0,10.0,49.0,O3,1,DKI2
