tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-01-01,49.0,10.0,39.0,27.0,10.0,49.0,PM10,1,DKI1
2015-01-02,28.0,9.0,26.0,48.0,10.0,48.0,O3,1,DKI2
2015-01-03,27.0,10.0,28.0,44.0,10.0,44.0,O3,1,DKI2
2015-01-04,22.0,9.0,28.0,42.0,12.0,42.0,O3,1,DKI2
2015-01-05,25.0,9.0,25.0,32.0,7.0,32.0,O3,1,DKI2
2015-01-06,29.0,9.0,26.0,37.0,11.0,37.0,O3,1,DKI2
2015-01-07,32.0,10.0,32.0,35.0,12.0,35.0,O3,1,DKI1
2015-01-08,48.0,10.0,25.0,40.0,13.0,48.0,PM10,1,DKI3
2015-01-09,24.0,10.0,24.0,32.0,7.0,32.0,O3,1,DKI1
2015-01-10,25.0,10.0,24.0,43.0,8.0,43.0,O3,1,DKI2
2015-01-11,34.0,11.0,23.0,41.0,11.0,41.0,O3,1,DKI1
2015-01-12,37.0,11.0,28.0,37.0,13.0,37.0,PM10,1,DKI1
2015-01-13,45.0,11.0,39.0,35.0,18.0,45.0,PM10,1,DKI1
2015-01-14,41.0,11.0,44.0,40.0,17.0,44.0,CO,1,DKI2
2015-01-15,39.0,10.0,34.0,47.0,20.0,47.0,O3,1,DKI2
2015-01-16,57.0,16.0,61.0,40.0,17.0,61.0,CO,2,DKI3
2015-01-17,39.0,11.0,30.0,43.0,15.0,43.0,O3,1,DKI2
2015-01-18,46.0,11.0,36.0,45.0,18.0,46.0,PM10,1,DKI5
2015-01-19,54.0,11.0,39.0,41.0,16.0,54.0,PM10,2,DKI1
2015-01-20,70.0,13.0,72.0,51.0,24.0,72.0,CO,2,DKI2
2015-01-21,56.0,12.0,61.0,40.0,16.0,61.0,CO,2,DKI2
2015-01-22,45.0,11.0,36.0,36.0,15.0,45.0,PM10,1,DKI4
2015-01-23,49.0,10.0,50.0,41.0,23.0,50.0,CO,1,DKI2
2015-01-24,71.0,13.0,72.0,65.0,21.0,72.0,CO,2,DKI3
2015-01-25,35.0,11.0,29.0,67.0,18.0,67.0,O3,2,DKI3
2015-01-26,53.0,14.0,41.0,59.0,14.0,59.0,O3,2,DKI3
2015-01-27,68.0,12.0,51.0,49.0,13.0,68.0,PM10,2,DKI5
2015-01-28,57.0,14.0,46.0,65.0,15.0,65.0,O3,2,DKI3
2015-01-29,55.0,13.0,34.0,61.0,17.0,61.0,O3,2,DKI3
2015-01-30,52.0,12.0,46.0,50.0,13.0,52.0,PM10,2,DKI1
2015-01-31,54.0,14.0,32.0,41.0,15.0,54.0,PM10,2,DKI1
2015-02-01,42.0,7.0,30.0,42.0,12.0,42.0,PM10,1,DKI1
2015-02-02,50.0,6.0,49.0,42.0,21.0,50.0,PM10,1,DKI5
2015-02-03,76.0,8.0,69.0,50.0,15.0,76.0,PM10,2,DKI5
2015-02-04,68.0,10.0,59.0,55.0,23.0,68.0,PM10,2,DKI5
2015-02-05,47.0,9.0,33.0,58.0,17.0,58.0,O3,2,DKI3
2015-02-06,30.0,8.0,52.0,49.0,13.0,52.0,CO,2,DKI3
2015-02-07,51.0,9.0,33.0,53.0,15.0,53.0,O3,2,DKI3
2015-02-08,49.0,9.0,34.0,46.0,12.0,49.0,PM10,1,DKI1
2015-02-09,27.0,8.0,45.0,36.0,14.0,45.0,CO,1,DKI3
2015-02-10,23.0,9.0,42.0,46.0,11.0,46.0,O3,1,DKI3
2015-02-11,56.0,9.0,68.0,40.0,11.0,68.0,CO,2,DKI3
2015-02-12,72.0,10.0,54.0,50.0,22.0,72.0,PM10,2,DKI5
2015-02-13,48.0,10.0,37.0,48.0,15.0,48.0,PM10,1,DKI3
2015-02-14,58.0,13.0,57.0,48.0,16.0,58.0,PM10,2,DKI5
2015-02-15,67.0,13.0,71.0,44.0,12.0,71.0,CO,2,DKI3
2015-02-16,69.0,13.0,56.0,72.0,18.0,72.0,O3,2,DKI3
2015-02-17,49.0,13.0,57.0,63.0,13.0,63.0,O3,2,DKI3
2015-02-18,56.0,19.0,48.0,66.0,24.0,66.0,O3,2,DKI4
2015-02-19,40.0,13.0,34.0,42.0,13.0,42.0,O3,1,DKI3
2015-02-20,52.0,24.0,42.0,68.0,20.0,68.0,O3,2,DKI3
2015-02-21,98.0,15.0,60.0,62.0,27.0,98.0,PM10,2,DKI4
2015-02-22,71.0,15.0,37.0,57.0,23.0,71.0,PM10,2,DKI4
2015-02-23,63.0,16.0,32.0,46.0,15.0,63.0,PM10,2,DKI4
2015-02-24,70.0,17.0,42.0,70.0,17.0,70.0,PM10,2,DKI3
2015-02-25,85.0,20.0,45.0,121.0,18.0,121.0,O3,3,DKI3
2015-02-26,87.0,19.0,35.0,147.0,31.0,147.0,O3,3,DKI3
2015-02-27,83.0,16.0,38.0,129.0,21.0,129.0,O3,3,DKI3
2015-02-28,78.0,17.0,43.0,65.0,19.0,78.0,PM10,2,DKI4
2015-03-01,86.0,16.0,48.0,39.0,16.0,86.0,PM10,2,DKI4
2015-03-02,57.0,17.0,40.0,41.0,18.0,57.0,PM10,2,DKI1
2015-03-03,62.0,19.0,33.0,50.0,18.0,62.0,PM10,2,DKI1
2015-03-04,59.0,16.0,41.0,38.0,19.0,59.0,PM10,2,DKI1
2015-03-05,51.0,14.0,29.0,44.0,15.0,51.0,PM10,2,DKI1
2015-03-06,66.0,17.0,44.0,70.0,18.0,70.0,O3,2,DKI5
2015-03-07,53.0,15.0,27.0,59.0,20.0,59.0,O3,2,DKI4
2015-03-08,46.0,14.0,36.0,36.0,17.0,46.0,PM10,1,DKI4
2015-03-09,51.0,15.0,33.0,45.0,17.0,51.0,PM10,2,DKI5
2015-03-10,49.0,14.0,36.0,63.0,25.0,63.0,O3,2,DKI5
2015-03-11,44.0,14.0,27.0,62.0,15.0,62.0,O3,2,DKI3
2015-03-12,43.0,16.0,29.0,48.0,12.0,48.0,O3,1,DKI4
2015-03-13,66.0,16.0,61.0,49.0,24.0,66.0,PM10,2,DKI1
2015-03-14,72.0,17.0,44.0,52.0,13.0,72.0,PM10,2,DKI4
2015-03-15,64.0,16.0,30.0,49.0,14.0,64.0,PM10,2,DKI1
2015-03-16,55.0,14.0,52.0,71.0,19.0,71.0,O3,2,DKI4
2015-03-17,66.0,20.0,46.0,85.0,21.0,85.0,O3,2,DKI4
2015-03-18,75.0,22.0,35.0,104.0,25.0,104.0,O3,3,DKI2
2015-03-19,68.0,16.0,33.0,130.0,26.0,130.0,O3,3,DKI3
2015-03-20,57.0,15.0,30.0,127.0,30.0,127.0,O3,3,DKI2
