tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2012-01-01,52.0,18.0,39.0,63.0,7.0,63.0,O3,2,DKI2
2012-01-02,49.0,22.0,28.0,55.0,11.0,55.0,O3,2,DKI2
2012-01-03,65.0,15.0,42.0,86.0,22.0,86.0,O3,2,DKI1
2012-01-04,69.0,20.0,55.0,97.0,20.0,97.0,O3,2,DKI1
2012-01-05,67.0,14.0,39.0,157.0,25.0,157.0,O3,3,DKI2
2012-01-06,52.0,28.0,47.0,68.0,11.0,68.0,O3,2,DKI2
2012-01-07,61.0,20.0,54.0,73.0,13.0,73.0,O3,2,DKI2
2012-01-08,48.0,15.0,48.0,90.0,13.0,90.0,O3,2,DKI2
2012-01-09,60.0,16.0,63.0,72.0,21.0,72.0,O3,2,DKI1
2012-01-10,39.0,16.0,29.0,69.0,13.0,69.0,O3,2,DKI2
2012-01-11,42.0,16.0,31.0,75.0,14.0,75.0,O3,2,DKI2
2012-01-12,42.0,20.0,37.0,52.0,13.0,52.0,O3,2,DKI2
2012-01-13,40.0,19.0,27.0,55.0,13.0,55.0,O3,2,DKI2
2012-01-14,34.0,19.0,34.0,54.0,7.0,54.0,O3,2,DKI1
2012-01-15,39.0,18.0,20.0,89.0,10.0,89.0,O3,2,DKI2
2012-01-16,50.0,18.0,30.0,86.0,16.0,86.0,O3,2,DKI2
2012-01-17,65.0,30.0,33.0,94.0,23.0,94.0,O3,2,DKI2
2012-01-18,60.0,45.0,38.0,98.0,19.0,98.0,O3,2,DKI2
2012-01-19,60.0,22.0,43.0,65.0,16.0,65.0,O3,2,DKI2
2012-01-20,60.0,17.0,33.0,73.0,12.0,73.0,O3,2,DKI2
2012-01-21,57.0,25.0,29.0,90.0,21.0,90.0,O3,2,DKI1
2012-01-22,71.0,21.0,99.0,95.0,14.0,99.0,CO,2,DKI4
2012-01-23,44.0,17.0,15.0,78.0,10.0,78.0,O3,2,DKI2
2012-01-24,55.0,26.0,24.0,48.0,11.0,55.0,PM10,2,DKI4
2012-01-25,48.0,22.0,24.0,62.0,15.0,62.0,O3,2,DKI1
2012-01-26,54.0,23.0,30.0,81.0,11.0,81.0,O3,2,DKI2
2012-01-27,51.0,20.0,26.0,96.0,14.0,96.0,O3,2,DKI2
2012-01-28,44.0,24.0,26.0,85.0,17.0,85.0,O3,2,DKI1
2012-01-29,33.0,15.0,15.0,75.0,9.0,75.0,O3,2,DKI2
2012-01-30,40.0,21.0,29.0,130.0,10.0,130.0,O3,3,DKI2
2012-01-31,31.0,18.0,29.0,61.0,12.0,61.0,O3,2,DKI2
2012-02-01,81.0,44.0,68.0,105.0,21.0,105.0,O3,3,DKI2
2012-02-02,54.0,52.0,34.0,74.0,17.0,74.0,O3,2,DKI1
2012-02-03,55.0,31.0,44.0,59.0,14.0,59.0,O3,2,DKI1
2012-02-04,59.0,29.0,41.0,57.0,12.0,59.0,PM10,2,DKI1
