tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-01-01,77.0,8.0,58.0,64.0,13.0,77.0,PM10,2,DKI1
2014-01-02,55.0,7.0,29.0,74.0,13.0,74.0,O3,2,DKI4
2014-01-03,62.0,9.0,49.0,97.0,16.0,97.0,O3,2,DKI4
2014-01-04,55.0,7.0,36.0,57.0,14.0,57.0,O3,2,DKI3
2014-01-05,39.0,6.0,18.0,48.0,10.0,48.0,O3,1,DKI1
2014-01-06,27.0,5.0,18.0,45.0,9.0,45.0,O3,1,DKI1
2014-01-07,40.0,7.0,27.0,52.0,13.0,52.0,O3,2,DKI1
2014-01-08,51.0,6.0,31.0,65.0,14.0,65.0,O3,2,DKI4
2014-01-09,51.0,6.0,54.0,43.0,15.0,54.0,CO,2,DKI4
2014-01-10,39.0,7.0,24.0,95.0,15.0,95.0,O3,2,DKI2
2014-01-11,56.0,7.0,29.0,96.0,21.0,96.0,O3,2,DKI4
2014-01-12,44.0,5.0,29.0,71.0,15.0,71.0,O3,2,DKI1
2014-01-13,40.0,7.0,39.0,70.0,20.0,70.0,O3,2,DKI4
2014-01-14,54.0,9.0,36.0,72.0,16.0,72.0,O3,2,DKI4
2014-01-15,46.0,7.0,29.0,54.0,12.0,54.0,O3,2,DKI1
2014-01-16,50.0,6.0,41.0,49.0,19.0,50.0,PM10,1,DKI1
2014-01-17,51.0,6.0,33.0,61.0,18.0,61.0,O3,2,DKI4
2014-01-18,39.0,6.0,25.0,55.0,15.0,55.0,O3,2,DKI1
2014-01-19,38.0,6.0,26.0,60.0,16.0,60.0,O3,2,DKI4
2014-01-20,54.0,6.0,27.0,53.0,13.0,54.0,PM10,2,DKI1
2014-01-21,44.0,6.0,28.0,54.0,15.0,54.0,O3,2,DKI4
2014-01-22,59.0,8.0,29.0,52.0,21.0,59.0,PM10,2,DKI1
2014-01-23,48.0,6.0,26.0,53.0,15.0,53.0,O3,2,DKI1
2014-01-24,59.0,6.0,41.0,50.0,17.0,59.0,PM10,2,DKI1
2014-01-25,53.0,6.0,23.0,56.0,15.0,56.0,O3,2,DKI4
2014-01-26,67.0,7.0,43.0,56.0,14.0,67.0,PM10,2,DKI5
2014-01-27,65.0,7.0,29.0,56.0,13.0,65.0,PM10,2,DKI1
2014-01-28,47.0,5.0,26.0,53.0,11.0,53.0,O3,2,DKI4
2014-01-29,33.0,6.0,27.0,51.0,12.0,51.0,O3,2,DKI4
2014-01-30,54.0,6.0,33.0,53.0,10.0,54.0,PM10,2,DKI5
2014-01-31,56.0,6.0,33.0,46.0,10.0,56.0,PM10,2,DKI5
2014-02-01,61.0,6.0,30.0,48.0,12.0,61.0,PM10,2,DKI5
2014-02-02,37.0,6.0,27.0,50.0,12.0,50.0,O3,1,DKI2
2014-02-03,42.0,6.0,31.0,48.0,15.0,48.0,O3,1,DKI3
2014-02-04,41.0,6.0,32.0,83.0,16.0,83.0,O3,2,DKI4
2014-02-05,71.0,7.0,62.0,85.0,19.0,85.0,O3,2,DKI4
2014-02-06,63.0,7.0,49.0,83.0,18.0,83.0,O3,2,DKI4
2014-02-07,56.0,6.0,37.0,66.0,16.0,66.0,O3,2,DKI4
2014-02-08,47.0,6.0,30.0,60.0,15.0,60.0,O3,2,DKI5
2014-02-09,56.0,6.0,71.0,68.0,20.0,71.0,CO,2,DKI3
2014-02-10,46.0,7.0,36.0,80.0,27.0,80.0,O3,2,DKI4
2014-02-11,58.0,7.0,32.0,75.0,25.0,75.0,O3,2,DKI4
2014-02-12,63.0,7.0,42.0,77.0,26.0,77.0,O3,2,DKI4
2014-02-13,70.0,8.0,40.0,79.0,15.0,79.0,O3,2,DKI3
2014-02-14,60.0,8.0,46.0,63.0,18.0,63.0,O3,2,DKI2
2014-02-15,78.0,9.0,48.0,63.0,14.0,78.0,PM10,2,DKI5
2014-02-16,82.0,13.0,47.0,52.0,17.0,82.0,PM10,2,DKI5
2014-02-17,113.0,8.0,61.0,99.0,27.0,113.0,PM10,3,DKI5
2014-02-18,76.0,7.0,38.0,62.0,25.0,76.0,PM10,2,DKI5
2014-02-19,75.0,9.0,38.0,65.0,16.0,75.0,PM10,2,DKI1
2014-02-20,91.0,12.0,38.0,90.0,34.0,91.0,PM10,2,DKI5
2014-02-21,52.0,9.0,29.0,73.0,13.0,73.0,O3,2,DKI5
2014-02-22,50.0,8.0,32.0,52.0,13.0,52.0,O3,2,DKI4
2014-02-23,34.0,8.0,42.0,54.0,15.0,54.0,O3,2,DKI4
2014-02-24,51.0,8.0,38.0,47.0,21.0,51.0,PM10,2,DKI4
2014-02-25,54.0,8.0,43.0,53.0,25.0,54.0,PM10,2,DKI1
2014-02-26,52.0,8.0,43.0,58.0,24.0,58.0,O3,2,DKI2
2014-02-27,65.0,9.0,57.0,83.0,28.0,83.0,O3,2,DKI5
2014-02-28,105.0,11.0,119.0,97.0,34.0,119.0,CO,3,DKI5
2014-03-01,74.0,10.0,36.0,91.0,17.0,91.0,O3,2,DKI3
2014-03-02,59.0,9.0,26.0,92.0,20.0,92.0,O3,2,DKI4
2014-03-03,65.0,14.0,33.0,144.0,21.0,144.0,O3,3,DKI3
2014-03-04,62.0,18.0,30.0,156.0,17.0,156.0,O3,3,DKI3
2014-03-05,65.0,10.0,31.0,98.0,21.0,98.0,O3,2,DKI4
2014-03-06,105.0,16.0,54.0,190.0,28.0,190.0,O3,3,DKI5
2014-03-07,80.0,14.0,38.0,101.0,26.0,101.0,O3,3,DKI2
2014-03-08,79.0,10.0,31.0,85.0,23.0,85.0,O3,2,DKI3
2014-03-09,89.0,7.0,63.0,70.0,17.0,89.0,PM10,2,DKI5
2014-03-10,82.0,8.0,40.0,76.0,23.0,82.0,PM10,2,DKI5
2014-03-11,95.0,8.0,56.0,62.0,21.0,95.0,PM10,2,DKI4
2014-03-12,69.0,8.0,59.0,66.0,20.0,69.0,PM10,2,DKI5
